E1,E2,E3,E4,E5,E6,S1,S2,S3,S4,S5,
95,87,88,93,94,89,93.87907,93.87907,93.87907,93.87907,102.64918,
96,86,88,92,95,90,93.87907,93.87907,93.87907,93.87907,102.28175,
95,88,88,91,94,90,93.87907,93.87907,93.87907,93.87907,102.58185,
93,88,88,93,93,92,93.87907,93.87907,93.87907,93.87907,102.817696,
96,87,87,92,94,91,93.87907,93.87907,93.87907,93.87907,103.125656,
95,87,89,93,95,90,93.87907,93.87907,93.87907,93.87907,103.19255,
95,90,89,93,95,90,93.87907,93.87907,93.87907,93.87907,102.58185,
95,84,88,93,95,91,93.87907,93.87907,93.87907,93.87907,102.116455,
95,88,88,94,96,91,93.87907,93.87907,93.87907,93.87907,102.28175,
96,85,88,93,94,92,93.87907,93.87907,93.87907,93.87907,102.54977,
97,87,87,92,97,91,93.87907,93.87907,93.87907,93.87907,102.64918,
99,88,87,93,95,88,93.87907,93.87907,93.87907,93.87907,102.58185,
96,88,86,92,94,83,93.87907,93.87907,93.87907,93.87907,155.58907,
95,88,86,93,95,87,93.87907,93.87907,93.87907,93.87907,155.58907,
96,87,86,96,94,87,93.87907,93.87907,93.87907,93.87907,154.71312,
95,87,86,91,94,86,93.87907,93.87907,93.87907,93.87907,155.14929,
96,87,86,92,94,91,93.87907,93.87907,93.87907,93.87907,155.04161,
97,87,84,94,96,87,93.87907,93.87907,93.87907,93.87907,154.82057,
95,85,86,92,95,86,93.87907,93.87907,93.87907,93.87907,154.0641,
95,87,86,93,95,87,93.87907,93.87907,93.87907,93.87907,153.63333,
96,87,86,93,94,87,93.87907,93.87907,93.87907,93.87907,152.99585,
95,87,87,93,96,88,93.87907,93.87907,93.87907,93.87907,153.31483,
96,87,85,96,94,87,93.87907,93.87907,93.87907,93.87907,153.41898,
97,86,85,92,95,83,93.87907,93.87907,93.87907,93.87907,153.95718,
96,87,80,92,95,84,93.87907,93.87907,93.87907,93.87907,206.14404,
96,87,81,89,95,83,93.87907,93.87907,93.87907,93.87907,207.13884,
96,88,80,93,95,84,93.87907,93.87907,93.87907,93.87907,208.54854,
96,88,82,92,95,83,93.87907,93.87907,93.87907,93.87907,203.99124,
95,87,81,92,94,83,93.87907,93.87907,93.87907,93.87907,204.37914,
94,88,81,93,94,82,93.87907,93.87907,93.87907,93.87907,204.37914,
96,88,80,92,94,82,93.87907,93.87907,93.87907,93.87907,202.44856,
95,85,81,93,95,83,93.87907,93.87907,93.87907,93.87907,202.06895,
95,88,81,91,94,84,93.87907,93.87907,93.87907,93.87907,203.0255,
96,87,81,92,94,87,93.87907,93.87907,93.87907,93.87907,203.99124,
98,88,81,93,95,86,93.87907,93.87907,93.87907,93.87907,206.3423,
96,86,82,92,95,83,93.87907,93.87907,93.87907,93.87907,203.41,
95,87,78,92,94,82,93.87907,93.87907,93.87907,93.87907,253.59825,
92,88,79,93,94,77,93.87907,93.87907,93.87907,93.87907,252.43617,
96,86,81,92,95,82,93.87907,93.87907,93.87907,93.87907,252.43617,
95,87,78,91,93,81,93.87907,93.87907,93.87907,93.87907,253.01656,
96,87,78,93,95,82,93.87907,93.87907,93.87907,93.87907,252.72716,
96,88,79,92,98,82,93.87907,93.87907,93.87907,93.87907,253.88864,
96,87,79,92,94,82,93.87907,93.87907,93.87907,93.87907,252.72716,
96,88,79,91,94,82,93.87907,93.87907,93.87907,93.87907,253.30434,
95,87,79,91,96,82,93.87907,93.87907,93.87907,93.87907,253.59825,
96,88,79,92,94,81,93.87907,93.87907,93.87907,93.87907,254.76958,
95,84,79,92,95,81,93.87907,93.87907,93.87907,93.87907,254.76958,
96,86,78,93,96,82,93.87907,93.87907,93.87907,93.87907,253.30434,
96,87,75,87,95,79,93.87907,93.87907,93.87907,93.87907,304.74017,
96,83,76,91,95,79,93.87907,93.87907,93.87907,93.87907,305.548,
95,88,76,91,94,78,93.87907,93.87907,93.87907,93.87907,303.5359,
96,87,76,95,94,80,93.87907,93.87907,93.87907,93.87907,303.5359,
96,86,78,91,95,80,93.87907,93.87907,93.87907,93.87907,302.738,
95,87,74,92,94,79,93.87907,93.87907,93.87907,93.87907,300.75815,
97,86,75,90,98,80,93.87907,93.87907,93.87907,93.87907,299.19272,
99,88,76,92,93,80,93.87907,93.87907,93.87907,93.87907,297.25195,
95,90,77,91,93,80,93.87907,93.87907,93.87907,93.87907,293.4394,
94,86,76,90,94,79,93.87907,93.87907,93.87907,93.87907,293.81577,
95,86,78,92,94,79,93.87907,93.87907,93.87907,93.87907,293.4394,
94,87,76,92,94,79,93.87907,93.87907,93.87907,93.87907,295.33276,
95,88,75,90,94,79,93.87907,93.87907,93.87907,93.87907,359.9439,
96,86,76,92,94,79,93.87907,93.87907,93.87907,93.87907,358.34918,
