E1,E2,E3,E4,E5,E6,S1,S2,S3,S4,S5,
96,88,82,93,95,94,93.87907,93.87907,93.87907,93.87907,97.06921,
97,87,81,92,96,96,93.87907,93.87907,93.87907,93.87907,97.44169,
97,88,82,93,95,95,93.87907,93.87907,93.87907,93.87907,97.01738,
97,88,81,92,96,96,93.87907,93.87907,93.87907,93.87907,97.2805,
97,88,82,94,96,94,93.87907,93.87907,93.87907,93.87907,97.20112,
96,89,83,94,96,94,93.87907,93.87907,93.87907,93.87907,97.361435,
96,88,80,89,95,95,93.87907,93.87907,93.87907,93.87907,97.73802,
95,88,81,93,95,94,93.87907,93.87907,93.87907,93.87907,97.76487,
96,87,81,91,95,95,93.87907,93.87907,93.87907,93.87907,97.62921,
94,88,81,93,95,94,93.87907,93.87907,93.87907,93.87907,98.23366,
96,89,81,93,95,94,93.87907,93.87907,93.87907,93.87907,98.317635,
95,87,80,89,96,95,93.87907,93.87907,93.87907,93.87907,97.92985,
97,88,80,92,97,96,93.87907,93.87907,93.87907,93.87907,153.5267,
96,88,81,93,95,94,93.87907,93.87907,93.87907,93.87907,151.73459,
97,88,80,93,97,96,93.87907,93.87907,93.87907,93.87907,150.70088,
96,88,83,94,95,95,93.87907,93.87907,93.87907,93.87907,150.19011,
97,89,80,93,95,94,93.87907,93.87907,93.87907,93.87907,150.59744,
96,87,79,92,96,94,93.87907,93.87907,93.87907,93.87907,150.59744,
95,89,80,92,95,94,93.87907,93.87907,93.87907,93.87907,152.04747,
97,88,83,93,95,96,93.87907,93.87907,93.87907,93.87907,152.57155,
95,89,81,94,96,94,93.87907,93.87907,93.87907,93.87907,153.41898,
95,87,78,89,95,95,93.87907,93.87907,93.87907,93.87907,152.67635,
96,84,80,92,95,94,93.87907,93.87907,93.87907,93.87907,153.63333,
99,88,80,92,94,93,93.87907,93.87907,93.87907,93.87907,153.31483,
97,88,67,58,90,94,93.87907,93.87907,93.87907,93.87907,182.14786,
98,88,66,56,88,94,93.87907,93.87907,93.87907,93.87907,182.45801,
93,88,66,57,89,93,93.87907,93.87907,93.87907,93.87907,183.07993,
97,87,66,59,91,94,93.87907,93.87907,93.87907,93.87907,183.07993,
97,88,64,58,90,94,93.87907,93.87907,93.87907,93.87907,184.34135,
97,88,66,57,90,96,93.87907,93.87907,93.87907,93.87907,183.86801,
97,88,70,58,90,94,93.87907,93.87907,93.87907,93.87907,183.07993,
96,88,68,59,89,94,93.87907,93.87907,93.87907,93.87907,185.78008,
97,88,66,57,90,97,93.87907,93.87907,93.87907,93.87907,192.97154,
98,87,67,57,89,96,93.87907,93.87907,93.87907,93.87907,199.99382,
96,87,67,60,89,94,93.87907,93.87907,93.87907,93.87907,203.99124,
96,88,67,61,90,94,93.87907,93.87907,93.87907,93.87907,198.51317,
97,89,81,90,94,93,93.87907,93.87907,93.87907,93.87907,248.1663,
97,89,81,91,92,94,93.87907,93.87907,93.87907,93.87907,248.44669,
97,87,79,91,95,92,93.87907,93.87907,93.87907,93.87907,245.94405,
98,87,80,90,95,98,93.87907,93.87907,93.87907,93.87907,247.88625,
99,88,81,91,95,96,93.87907,93.87907,93.87907,93.87907,246.49445,
96,89,80,91,95,94,93.87907,93.87907,93.87907,93.87907,250.42775,
96,88,80,91,94,94,93.87907,93.87907,93.87907,93.87907,249.57326,
96,89,81,92,97,95,93.87907,93.87907,93.87907,93.87907,248.72928,
97,88,80,90,97,94,93.87907,93.87907,93.87907,93.87907,247.6084,
96,90,82,89,94,94,93.87907,93.87907,93.87907,93.87907,246.77106,
96,88,73,69,91,93,93.87907,93.87907,93.87907,93.87907,248.44669,
96,89,73,69,91,93,93.87907,93.87907,93.87907,93.87907,249.01219,
84,85,54,47,88,87,93.87907,93.87907,93.87907,93.87907,301.54852,
84,85,55,47,89,88,93.87907,93.87907,93.87907,93.87907,297.25195,
82,85,54,46,87,88,93.87907,93.87907,93.87907,93.87907,297.64,
82,85,54,46,87,88,93.87907,93.87907,93.87907,93.87907,297.64,
82,85,54,46,88,89,93.87907,93.87907,93.87907,93.87907,298.02402,
81,84,54,46,86,91,93.87907,93.87907,93.87907,93.87907,299.19272,
80,85,54,46,87,90,93.87907,93.87907,93.87907,93.87907,297.25195,
82,85,55,46,86,88,93.87907,93.87907,93.87907,93.87907,298.41534,
77,84,54,44,87,89,93.87907,93.87907,93.87907,93.87907,298.41534,
77,84,53,48,89,90,93.87907,93.87907,93.87907,93.87907,299.19272,
76,83,54,46,87,90,93.87907,93.87907,93.87907,93.87907,301.54852,
75,84,53,47,88,89,93.87907,93.87907,93.87907,93.87907,299.19272,
63,44,44,47,86,76,93.87907,93.87907,93.87907,93.87907,346.51666,
61,44,44,45,85,76,93.87907,93.87907,93.87907,93.87907,346.51666,
63,44,43,43,85,77,93.87907,93.87907,93.87907,93.87907,348.02155,
63,44,44,44,86,76,93.87907,93.87907,93.87907,93.87907,347.52008,
62,44,43,43,84,75,93.87907,93.87907,93.87907,93.87907,350.04535,
63,43,47,43,87,77,93.87907,93.87907,93.87907,93.87907,346.51666,
63,44,44,44,85,76,93.87907,93.87907,93.87907,93.87907,350.04535,
63,47,42,41,85,76,93.87907,93.87907,93.87907,93.87907,347.52008,
67,52,44,44,85,75,93.87907,93.87907,93.87907,93.87907,354.67725,
65,61,43,43,85,76,93.87907,93.87907,93.87907,93.87907,354.67725,
64,51,44,44,86,77,93.87907,93.87907,93.87907,93.87907,356.24475,
63,46,44,47,85,76,93.87907,93.87907,93.87907,93.87907,354.67725,
53,44,44,43,85,73,93.87907,93.87907,93.87907,93.87907,406.46887,
54,44,46,44,86,74,93.87907,93.87907,93.87907,93.87907,407.11752,
53,44,43,43,85,73,93.87907,93.87907,93.87907,93.87907,411.72482,
55,40,44,44,86,73,93.87907,93.87907,93.87907,93.87907,403.88458,
54,43,44,43,84,74,93.87907,93.87907,93.87907,93.87907,407.77652,
58,44,44,44,86,74,93.87907,93.87907,93.87907,93.87907,407.77652,
54,44,42,40,86,73,93.87907,93.87907,93.87907,93.87907,405.17465,
54,44,45,44,84,73,93.87907,93.87907,93.87907,93.87907,414.39087,
54,44,47,44,85,74,93.87907,93.87907,93.87907,93.87907,411.72482,
54,47,44,44,85,73,93.87907,93.87907,93.87907,93.87907,412.3913,
52,43,44,43,84,73,93.87907,93.87907,93.87907,93.87907,407.77652,
55,44,44,43,85,73,93.87907,93.87907,93.87907,93.87907,411.72482,
48,43,46,44,84,71,93.87907,93.87907,93.87907,93.87907,444.92264,
49,43,43,43,85,72,93.87907,93.87907,93.87907,93.87907,457.99652,
49,47,45,44,86,72,93.87907,93.87907,93.87907,93.87907,455.64743,
49,44,43,43,86,72,93.87907,93.87907,93.87907,93.87907,454.0858,
50,44,44,44,86,75,93.87907,93.87907,93.87907,93.87907,450.23248,
50,44,44,44,85,72,93.87907,93.87907,93.87907,93.87907,447.18912,
50,44,44,43,85,72,93.87907,93.87907,93.87907,93.87907,445.68024,
49,44,43,43,85,71,93.87907,93.87907,93.87907,93.87907,446.42892,
50,42,39,43,85,72,93.87907,93.87907,93.87907,93.87907,447.18912,
50,44,44,44,85,72,93.87907,93.87907,93.87907,93.87907,450.23248,
49,39,43,44,86,72,93.87907,93.87907,93.87907,93.87907,448.7065,
49,40,43,43,86,73,93.87907,93.87907,93.87907,93.87907,446.42892,
47,43,43,42,81,72,93.87907,93.87907,93.87907,93.87907,487.7654,
47,40,44,44,84,71,93.87907,93.87907,93.87907,93.87907,487.7654,
47,43,43,43,85,72,93.87907,93.87907,93.87907,93.87907,489.51013,
47,44,44,42,85,71,93.87907,93.87907,93.87907,93.87907,491.26108,
50,44,43,43,85,72,93.87907,93.87907,93.87907,93.87907,497.4692,
47,43,42,43,85,71,93.87907,93.87907,93.87907,93.87907,497.4692,
47,40,43,43,86,72,93.87907,93.87907,93.87907,93.87907,497.4692,
47,43,43,43,83,67,93.87907,93.87907,93.87907,93.87907,495.68103,
47,43,44,47,86,72,93.87907,93.87907,93.87907,93.87907,497.4692,
48,43,43,43,86,72,93.87907,93.87907,93.87907,93.87907,493.91055,
47,44,44,44,86,75,93.87907,93.87907,93.87907,93.87907,495.68103,
47,44,44,44,85,71,93.87907,93.87907,93.87907,93.87907,495.68103,
47,43,43,43,85,70,93.87907,93.87907,93.87907,93.87907,511.19717,
45,44,43,44,84,65,93.87907,93.87907,93.87907,93.87907,503.8058,
47,45,43,43,85,67,93.87907,93.87907,93.87907,93.87907,507.47833,
47,43,43,42,83,67,93.87907,93.87907,93.87907,93.87907,502.8918,
47,45,44,44,85,67,93.87907,93.87907,93.87907,93.87907,499.2677,
47,45,44,43,85,67,93.87907,93.87907,93.87907,93.87907,502.8918,
46,43,43,43,85,66,93.87907,93.87907,93.87907,93.87907,501.9833,
46,43,45,45,86,67,93.87907,93.87907,93.87907,93.87907,502.8918,
47,45,43,44,86,67,93.87907,93.87907,93.87907,93.87907,503.8058,
47,44,43,43,85,67,93.87907,93.87907,93.87907,93.87907,506.5577,
47,47,44,43,85,67,93.87907,93.87907,93.87907,93.87907,501.9833,
47,43,44,44,86,65,93.87907,93.87907,93.87907,93.87907,488.637,
48,41,44,43,85,68,93.87907,93.87907,93.87907,93.87907,451.77057,
47,43,44,44,85,68,93.87907,93.87907,93.87907,93.87907,433.15616,
48,40,44,44,83,68,93.87907,93.87907,93.87907,93.87907,447.9506,
48,43,43,44,85,68,93.87907,93.87907,93.87907,93.87907,444.92264,
49,44,44,44,84,64,93.87907,93.87907,93.87907,93.87907,448.7065,
48,44,44,44,89,69,93.87907,93.87907,93.87907,93.87907,454.86942,
48,42,39,44,86,69,93.87907,93.87907,93.87907,93.87907,455.64743,
48,45,44,43,84,68,93.87907,93.87907,93.87907,93.87907,457.21448,
47,44,43,43,85,68,93.87907,93.87907,93.87907,93.87907,444.92264,
48,44,43,44,84,69,93.87907,93.87907,93.87907,93.87907,447.18912,
50,44,43,43,85,69,93.87907,93.87907,93.87907,93.87907,431.00684,
49,44,43,43,86,72,93.87907,93.87907,93.87907,93.87907,421.87787,
55,75,44,43,85,69,93.87907,93.87907,93.87907,93.87907,413.05887,
54,50,43,42,80,70,93.87907,93.87907,93.87907,93.87907,412.3913,
53,50,44,43,84,69,93.87907,93.87907,93.87907,93.87907,414.39087,
50,39,43,44,86,69,93.87907,93.87907,93.87907,93.87907,412.3913,
51,43,43,43,83,65,93.87907,93.87907,93.87907,93.87907,413.72748,
50,39,44,44,85,69,93.87907,93.87907,93.87907,93.87907,417.08694,
45,44,44,44,84,67,93.87907,93.87907,93.87907,93.87907,417.76846,
51,44,43,42,80,69,93.87907,93.87907,93.87907,93.87907,419.81653,
50,44,47,44,85,70,93.87907,93.87907,93.87907,93.87907,419.81653,
50,44,43,43,84,68,93.87907,93.87907,93.87907,93.87907,417.76846,
50,44,43,44,86,70,93.87907,93.87907,93.87907,93.87907,411.72482,
50,44,44,44,86,69,93.87907,93.87907,93.87907,93.87907,400.6865,
53,82,43,42,85,72,93.87907,93.87907,93.87907,93.87907,365.88287,
54,82,44,43,85,71,93.87907,93.87907,93.87907,93.87907,365.33334,
53,82,44,43,85,71,93.87907,93.87907,93.87907,93.87907,363.70642,
54,83,45,44,86,72,93.87907,93.87907,93.87907,93.87907,363.16296,
53,83,43,43,85,73,93.87907,93.87907,93.87907,93.87907,355.19717,
56,84,44,43,85,72,93.87907,93.87907,93.87907,93.87907,353.11932,
57,82,44,44,86,72,93.87907,93.87907,93.87907,93.87907,360.47705,
55,82,46,44,85,72,93.87907,93.87907,93.87907,93.87907,356.24475,
55,82,43,43,83,67,93.87907,93.87907,93.87907,93.87907,371.42642,
53,81,43,44,86,72,93.87907,93.87907,93.87907,93.87907,371.9879,
53,82,43,43,83,68,93.87907,93.87907,93.87907,93.87907,371.9879,
53,81,43,44,89,72,93.87907,93.87907,93.87907,93.87907,372.55313,
58,83,44,43,86,92,93.87907,93.87907,93.87907,93.87907,312.5577,
62,83,44,44,85,90,93.87907,93.87907,93.87907,93.87907,310.05203,
68,83,44,44,85,91,93.87907,93.87907,93.87907,93.87907,309.22757,
69,83,45,47,87,91,93.87907,93.87907,93.87907,93.87907,285.6987,
69,84,45,43,85,91,93.87907,93.87907,93.87907,93.87907,288.97162,
71,85,41,40,88,93,93.87907,93.87907,93.87907,93.87907,291.18915,
70,86,46,43,85,92,93.87907,93.87907,93.87907,93.87907,291.56262,
70,83,46,43,85,92,93.87907,93.87907,93.87907,93.87907,294.5744,
71,85,47,44,86,91,93.87907,93.87907,93.87907,93.87907,295.71606,
70,84,47,47,87,93,93.87907,93.87907,93.87907,93.87907,299.5833,
69,85,46,44,86,92,93.87907,93.87907,93.87907,93.87907,301.54852,
70,84,46,43,85,95,93.87907,93.87907,93.87907,93.87907,301.15536,
70,84,62,88,94,94,93.87907,93.87907,93.87907,93.87907,243.75285,
72,85,63,88,95,97,93.87907,93.87907,93.87907,93.87907,247.04797,
72,84,63,92,95,95,93.87907,93.87907,93.87907,93.87907,249.28972,
71,84,62,89,96,95,93.87907,93.87907,93.87907,93.87907,250.14133,
85,88,69,90,96,95,93.87907,93.87907,93.87907,93.87907,250.42775,
96,84,79,93,95,95,93.87907,93.87907,93.87907,93.87907,251.2871,
97,88,79,93,96,94,93.87907,93.87907,93.87907,93.87907,252.14937,
96,88,78,92,96,95,93.87907,93.87907,93.87907,93.87907,253.30434,
98,88,78,93,96,96,93.87907,93.87907,93.87907,93.87907,254.76958,
97,87,68,90,95,95,93.87907,93.87907,93.87907,93.87907,255.0613,
96,88,79,93,96,97,93.87907,93.87907,93.87907,93.87907,255.95216,
97,88,79,95,96,95,93.87907,93.87907,93.87907,93.87907,257.14218,
98,89,78,94,95,94,93.87907,93.87907,93.87907,93.87907,209.36159,
97,88,81,93,95,95,93.87907,93.87907,93.87907,93.87907,210.38315,
97,88,77,89,96,95,93.87907,93.87907,93.87907,93.87907,204.37914,
97,92,79,93,96,96,93.87907,93.87907,93.87907,93.87907,202.44856,
97,91,82,92,96,96,93.87907,93.87907,93.87907,93.87907,189.89285,
96,88,79,93,96,93,93.87907,93.87907,93.87907,93.87907,187.40437,
97,88,79,93,95,95,93.87907,93.87907,93.87907,93.87907,189.72632,
100,88,79,92,95,93,93.87907,93.87907,93.87907,93.87907,190.73645,
96,89,80,94,96,94,93.87907,93.87907,93.87907,93.87907,191.4187,
97,89,79,94,95,94,93.87907,93.87907,93.87907,93.87907,191.4187,
97,88,78,89,96,95,93.87907,93.87907,93.87907,93.87907,192.79936,
97,88,78,92,98,95,93.87907,93.87907,93.87907,93.87907,192.6244,
97,88,79,91,92,94,93.87907,93.87907,93.87907,93.87907,154.71312,
92,88,79,93,95,96,93.87907,93.87907,93.87907,93.87907,155.14929,
