E1,E2,E3,E4,E5,E6,S1,S2,S3,S4,S5,
96,87,93,93,94,89,93.87907,93.87907,93.87907,93.87907,101.0832,
95,86,93,93,92,93,93.87907,93.87907,93.87907,93.87907,101.52994,
95,86,92,92,89,95,93.87907,93.87907,93.87907,93.87907,101.30709,
95,86,93,97,95,95,93.87907,93.87907,93.87907,93.87907,101.46644,
97,86,93,94,96,96,93.87907,93.87907,93.87907,93.87907,101.5617,
96,87,93,94,93,97,93.87907,93.87907,93.87907,93.87907,101.40221,
97,86,93,93,94,99,93.87907,93.87907,93.87907,93.87907,100.368515,
94,87,93,94,94,95,93.87907,93.87907,93.87907,93.87907,100.927536,
95,87,94,94,94,94,93.87907,93.87907,93.87907,93.87907,101.17964,
95,87,93,93,93,94,93.87907,93.87907,93.87907,93.87907,100.67682,
97,87,93,93,96,96,93.87907,93.87907,93.87907,93.87907,100.73829,
96,87,91,94,94,95,93.87907,93.87907,93.87907,93.87907,100.398384,
96,87,93,92,94,93,93.87907,93.87907,93.87907,93.87907,158.17192,
95,87,93,93,94,94,93.87907,93.87907,93.87907,93.87907,158.97766,
96,88,93,95,94,94,93.87907,93.87907,93.87907,93.87907,158.97766,
96,90,95,94,94,95,93.87907,93.87907,93.87907,93.87907,159.44167,
97,88,94,94,94,95,93.87907,93.87907,93.87907,93.87907,160.37743,
99,87,93,93,93,95,93.87907,93.87907,93.87907,93.87907,160.61252,
95,86,89,93,94,94,93.87907,93.87907,93.87907,93.87907,160.85042,
97,87,94,94,94,94,93.87907,93.87907,93.87907,93.87907,161.32605,
96,87,93,94,94,98,93.87907,93.87907,93.87907,93.87907,162.16888,
97,87,93,94,99,94,93.87907,93.87907,93.87907,93.87907,162.53056,
96,86,90,94,94,94,93.87907,93.87907,93.87907,93.87907,161.08867,
96,87,93,94,94,94,93.87907,93.87907,93.87907,93.87907,161.32605,
97,87,93,93,93,92,93.87907,93.87907,93.87907,93.87907,206.14404,
97,88,93,94,94,95,93.87907,93.87907,93.87907,93.87907,207.53905,
96,91,94,94,94,96,93.87907,93.87907,93.87907,93.87907,210.5903,
96,89,95,94,95,96,93.87907,93.87907,93.87907,93.87907,210.79605,
97,91,93,94,94,92,93.87907,93.87907,93.87907,93.87907,210.79605,
97,88,96,94,95,95,93.87907,93.87907,93.87907,93.87907,210.79605,
95,87,93,94,94,94,93.87907,93.87907,93.87907,93.87907,210.79605,
97,87,94,95,96,96,93.87907,93.87907,93.87907,93.87907,210.1794,
96,86,89,94,94,94,93.87907,93.87907,93.87907,93.87907,210.5903,
96,90,95,94,95,94,93.87907,93.87907,93.87907,93.87907,210.38315,
97,87,94,94,94,94,93.87907,93.87907,93.87907,93.87907,208.54854,
95,87,92,93,93,94,93.87907,93.87907,93.87907,93.87907,206.14404,
96,87,92,93,92,89,93.87907,93.87907,93.87907,93.87907,250.99776,
96,88,93,93,94,94,93.87907,93.87907,93.87907,93.87907,252.72716,
96,85,89,94,94,93,93.87907,93.87907,93.87907,93.87907,249.28972,
96,87,91,93,94,93,93.87907,93.87907,93.87907,93.87907,249.57326,
94,87,93,93,93,94,93.87907,93.87907,93.87907,93.87907,249.85904,
96,88,93,91,93,94,93.87907,93.87907,93.87907,93.87907,249.57326,
96,87,97,95,94,95,93.87907,93.87907,93.87907,93.87907,249.28972,
96,85,93,94,94,94,93.87907,93.87907,93.87907,93.87907,247.6084,
93,87,92,93,93,95,93.87907,93.87907,93.87907,93.87907,249.01219,
96,91,94,94,94,94,93.87907,93.87907,93.87907,93.87907,248.1663,
96,87,93,94,94,94,93.87907,93.87907,93.87907,93.87907,248.72928,
96,87,92,92,89,94,93.87907,93.87907,93.87907,93.87907,252.14937,
