E1,E2,E3,E4,E5,E6,S1,S2,S3,S4,S5,
96,87,94,93,94,94,93.87907,93.87907,93.87907,93.87907,100.06421,
96,87,94,94,94,94,93.87907,93.87907,93.87907,93.87907,100.184906,
95,87,94,94,94,94,93.87907,93.87907,93.87907,93.87907,100.769806,
96,88,94,94,94,95,93.87907,93.87907,93.87907,93.87907,100.24607,
96,87,93,94,94,94,93.87907,93.87907,93.87907,93.87907,100.49111,
96,90,95,94,93,94,93.87907,93.87907,93.87907,93.87907,100.21395,
96,86,93,93,88,94,93.87907,93.87907,93.87907,93.87907,100.49111,
97,87,93,93,94,94,93.87907,93.87907,93.87907,93.87907,100.58392,
96,87,94,97,95,94,93.87907,93.87907,93.87907,93.87907,100.8321,
95,87,94,93,93,93,93.87907,93.87907,93.87907,93.87907,100.58392,
96,86,92,90,94,94,93.87907,93.87907,93.87907,93.87907,100.86364,
98,87,93,93,93,92,93.87907,93.87907,93.87907,93.87907,100.67682,
95,87,93,94,94,94,93.87907,93.87907,93.87907,93.87907,153.63333,
97,87,93,98,96,94,93.87907,93.87907,93.87907,93.87907,153.74121,
94,87,93,93,93,94,93.87907,93.87907,93.87907,93.87907,153.20844,
96,90,94,93,93,92,93.87907,93.87907,93.87907,93.87907,153.63333,
97,86,93,91,94,94,93.87907,93.87907,93.87907,93.87907,154.38885,
97,87,92,91,94,95,93.87907,93.87907,93.87907,93.87907,154.27936,
98,87,93,93,94,94,93.87907,93.87907,93.87907,93.87907,154.71312,
95,87,94,93,93,93,93.87907,93.87907,93.87907,93.87907,154.49727,
96,87,93,92,93,94,93.87907,93.87907,93.87907,93.87907,155.04161,
96,87,93,94,98,96,93.87907,93.87907,93.87907,93.87907,155.81001,
96,88,93,93,94,94,93.87907,93.87907,93.87907,93.87907,157.03683,
96,85,88,93,94,93,93.87907,93.87907,93.87907,93.87907,157.82957,
96,87,93,93,94,95,93.87907,93.87907,93.87907,93.87907,208.34338,
96,88,93,94,94,94,93.87907,93.87907,93.87907,93.87907,208.95148,
97,87,93,96,96,94,93.87907,93.87907,93.87907,93.87907,208.74911,
96,87,94,93,94,94,93.87907,93.87907,93.87907,93.87907,208.34338,
96,90,95,94,94,94,93.87907,93.87907,93.87907,93.87907,208.1432,
92,87,93,93,94,95,93.87907,93.87907,93.87907,93.87907,205.74965,
97,88,91,94,93,94,93.87907,93.87907,93.87907,93.87907,205.55196,
96,83,94,93,94,95,93.87907,93.87907,93.87907,93.87907,205.55196,
95,86,93,93,94,95,93.87907,93.87907,93.87907,93.87907,204.37914,
94,88,93,94,94,93,93.87907,93.87907,93.87907,93.87907,204.37914,
95,87,94,93,94,94,93.87907,93.87907,93.87907,93.87907,202.64018,
96,88,93,93,94,94,93.87907,93.87907,93.87907,93.87907,203.41,
96,87,94,94,94,95,93.87907,93.87907,93.87907,93.87907,252.43617,
96,88,93,94,93,94,93.87907,93.87907,93.87907,93.87907,252.72716,
96,89,93,94,96,94,93.87907,93.87907,93.87907,93.87907,253.59825,
96,90,95,94,94,94,93.87907,93.87907,93.87907,93.87907,254.47624,
96,86,94,94,94,94,93.87907,93.87907,93.87907,93.87907,253.30434,
97,86,89,95,94,95,93.87907,93.87907,93.87907,93.87907,253.88864,
97,87,97,94,94,95,93.87907,93.87907,93.87907,93.87907,253.30434,
97,87,95,95,94,94,93.87907,93.87907,93.87907,93.87907,250.14133,
96,88,94,95,95,96,93.87907,93.87907,93.87907,93.87907,243.75285,
97,88,94,93,93,89,93.87907,93.87907,93.87907,93.87907,244.8432,
95,87,93,94,94,94,93.87907,93.87907,93.87907,93.87907,248.1663,
99,85,93,93,93,94,93.87907,93.87907,93.87907,93.87907,253.30434,
96,86,89,94,94,95,93.87907,93.87907,93.87907,93.87907,301.54852,
97,87,93,91,94,95,93.87907,93.87907,93.87907,93.87907,302.738,
96,86,93,93,93,94,93.87907,93.87907,93.87907,93.87907,298.41534,
96,87,92,97,95,94,93.87907,93.87907,93.87907,93.87907,301.9445,
96,87,92,94,94,94,93.87907,93.87907,93.87907,93.87907,296.48413,
95,87,93,93,93,94,93.87907,93.87907,93.87907,93.87907,296.86667,
97,87,92,92,90,95,93.87907,93.87907,93.87907,93.87907,298.02402,
96,87,92,93,96,96,93.87907,93.87907,93.87907,93.87907,292.311,
95,86,93,93,94,95,93.87907,93.87907,93.87907,93.87907,293.4394,
95,86,93,93,94,95,93.87907,93.87907,93.87907,93.87907,297.25195,
96,86,92,94,97,95,93.87907,93.87907,93.87907,93.87907,296.86667,
96,88,93,94,91,95,93.87907,93.87907,93.87907,93.87907,302.341,
96,87,92,92,94,95,93.87907,93.87907,93.87907,93.87907,353.11932,
96,87,91,94,95,94,93.87907,93.87907,93.87907,93.87907,338.66525,
96,89,93,94,94,94,93.87907,93.87907,93.87907,93.87907,345.0209,
96,87,92,92,94,94,93.87907,93.87907,93.87907,93.87907,355.19717,
96,86,92,96,95,94,93.87907,93.87907,93.87907,93.87907,343.53424,
97,87,92,94,94,94,93.87907,93.87907,93.87907,93.87907,335.32034,
95,83,92,93,93,95,93.87907,93.87907,93.87907,93.87907,335.79398,
96,88,93,93,94,94,93.87907,93.87907,93.87907,93.87907,337.224,
96,87,91,93,93,94,93.87907,93.87907,93.87907,93.87907,338.18243,
96,90,92,94,94,92,93.87907,93.87907,93.87907,93.87907,338.18243,
