E1,E2,E3,E4,E5,E6,S1,S2,S3,S4,S5,
95,88,96,95,96,95,93.87907,93.87907,93.87907,93.87907,110.43949,
96,88,94,95,96,95,93.87907,93.87907,93.87907,93.87907,110.614044,
96,89,95,95,97,95,93.87907,93.87907,93.87907,93.87907,110.97075,
97,88,93,91,97,95,93.87907,93.87907,93.87907,93.87907,110.88104,
97,88,94,95,95,93,93.87907,93.87907,93.87907,93.87907,111.1046,
97,85,95,95,96,96,93.87907,93.87907,93.87907,93.87907,111.2853,
97,90,95,95,95,95,93.87907,93.87907,93.87907,93.87907,110.83622,
97,88,95,95,95,99,93.87907,93.87907,93.87907,93.87907,111.01394,
97,91,96,96,96,95,93.87907,93.87907,93.87907,93.87907,110.79225,
97,88,95,95,95,93,93.87907,93.87907,93.87907,93.87907,110.66047,
97,93,97,96,95,95,93.87907,93.87907,93.87907,93.87907,110.26353,
92,89,96,95,96,95,93.87907,93.87907,93.87907,93.87907,107.862236,
97,87,94,95,94,91,93.87907,93.87907,93.87907,93.87907,153.5267,
97,89,98,97,96,95,93.87907,93.87907,93.87907,93.87907,153.95718,
96,89,95,95,96,95,93.87907,93.87907,93.87907,93.87907,153.84915,
96,87,94,95,95,94,93.87907,93.87907,93.87907,93.87907,155.58907,
96,89,94,95,95,94,93.87907,93.87907,93.87907,93.87907,154.27936,
97,89,94,96,96,95,93.87907,93.87907,93.87907,93.87907,153.31483,
96,88,95,96,95,95,93.87907,93.87907,93.87907,93.87907,154.71312,
96,92,96,95,96,95,93.87907,93.87907,93.87907,93.87907,155.36842,
97,88,93,95,96,95,93.87907,93.87907,93.87907,93.87907,157.48917,
96,86,90,95,96,95,93.87907,93.87907,93.87907,93.87907,158.86127,
99,89,94,95,96,96,93.87907,93.87907,93.87907,93.87907,159.67418,
97,91,94,95,95,95,93.87907,93.87907,93.87907,93.87907,159.44167,
97,89,84,93,95,95,93.87907,93.87907,93.87907,93.87907,208.1432,
97,88,86,94,96,95,93.87907,93.87907,93.87907,93.87907,208.74911,
95,89,85,94,96,95,93.87907,93.87907,93.87907,93.87907,209.36159,
97,89,85,94,95,95,93.87907,93.87907,93.87907,93.87907,209.56453,
98,88,85,94,96,96,93.87907,93.87907,93.87907,93.87907,210.5903,
98,89,85,93,97,96,93.87907,93.87907,93.87907,93.87907,210.79605,
97,88,84,94,99,96,93.87907,93.87907,93.87907,93.87907,210.79605,
97,88,84,93,95,94,93.87907,93.87907,93.87907,93.87907,211.2114,
98,88,85,94,95,96,93.87907,93.87907,93.87907,93.87907,211.83432,
95,89,85,94,96,95,93.87907,93.87907,93.87907,93.87907,211.83432,
97,90,88,96,96,95,93.87907,93.87907,93.87907,93.87907,211.83432,
100,88,84,93,94,95,93.87907,93.87907,93.87907,93.87907,212.25331,
97,90,84,94,95,95,93.87907,93.87907,93.87907,93.87907,247.88625,
97,84,83,94,96,95,93.87907,93.87907,93.87907,93.87907,249.57326,
97,84,84,94,96,96,93.87907,93.87907,93.87907,93.87907,255.95216,
98,91,85,96,97,96,93.87907,93.87907,93.87907,93.87907,265.75653,
101,87,81,95,95,96,93.87907,93.87907,93.87907,93.87907,265.75653,
97,88,83,93,99,96,93.87907,93.87907,93.87907,93.87907,265.4404,
97,89,84,93,96,95,93.87907,93.87907,93.87907,93.87907,266.71323,
96,89,85,93,95,94,93.87907,93.87907,93.87907,93.87907,268.31537,
96,89,84,92,96,94,93.87907,93.87907,93.87907,93.87907,267.35294,
99,88,84,94,95,96,93.87907,93.87907,93.87907,93.87907,268.31537,
96,88,83,92,96,98,93.87907,93.87907,93.87907,93.87907,268.961,
96,93,85,93,96,94,93.87907,93.87907,93.87907,93.87907,265.4404,
97,89,79,88,95,86,93.87907,93.87907,93.87907,93.87907,303.5359,
97,88,79,92,93,87,93.87907,93.87907,93.87907,93.87907,305.548,
96,89,80,92,95,86,93.87907,93.87907,93.87907,93.87907,308.81262,
96,89,80,93,95,86,93.87907,93.87907,93.87907,93.87907,309.63834,
98,88,80,92,94,83,93.87907,93.87907,93.87907,93.87907,312.1383,
96,89,80,92,95,85,93.87907,93.87907,93.87907,93.87907,313.82172,
97,89,79,91,97,86,93.87907,93.87907,93.87907,93.87907,312.1383,
96,89,80,93,95,86,93.87907,93.87907,93.87907,93.87907,312.1383,
97,89,79,94,96,85,93.87907,93.87907,93.87907,93.87907,311.71945,
96,89,80,93,96,85,93.87907,93.87907,93.87907,93.87907,307.5805,
97,88,80,92,95,84,93.87907,93.87907,93.87907,93.87907,305.95392,
93,89,80,93,95,87,93.87907,93.87907,93.87907,93.87907,297.64,
96,89,78,92,96,83,93.87907,93.87907,93.87907,93.87907,349.03464,
97,88,79,97,99,84,93.87907,93.87907,93.87907,93.87907,335.79398,
96,88,77,91,97,85,93.87907,93.87907,93.87907,93.87907,347.52008,
97,88,78,92,99,85,93.87907,93.87907,93.87907,93.87907,351.0697,
97,88,78,92,95,84,93.87907,93.87907,93.87907,93.87907,351.0697,
96,89,78,92,95,84,93.87907,93.87907,93.87907,93.87907,356.24475,
96,89,79,92,95,83,93.87907,93.87907,93.87907,93.87907,355.19717,
95,89,79,92,95,83,93.87907,93.87907,93.87907,93.87907,357.28995,
95,88,79,92,95,84,93.87907,93.87907,93.87907,93.87907,359.41153,
96,89,78,92,95,84,93.87907,93.87907,93.87907,93.87907,366.97876,
98,89,81,94,96,85,93.87907,93.87907,93.87907,93.87907,361.54846,
97,88,79,92,91,85,93.87907,93.87907,93.87907,93.87907,361.54846,
78,85,73,91,95,84,93.87907,93.87907,93.87907,93.87907,415.73672,
83,86,73,91,95,86,93.87907,93.87907,93.87907,93.87907,407.11752,
82,85,72,91,98,86,93.87907,93.87907,93.87907,93.87907,400.6865,
83,85,72,91,96,85,93.87907,93.87907,93.87907,93.87907,400.6865,
96,88,79,91,95,86,93.87907,93.87907,93.87907,93.87907,401.32285,
86,86,73,90,91,86,93.87907,93.87907,93.87907,93.87907,407.11752,
85,87,74,91,95,85,93.87907,93.87907,93.87907,93.87907,413.05887,
87,86,74,91,95,85,93.87907,93.87907,93.87907,93.87907,406.46887,
85,84,69,91,95,86,93.87907,93.87907,93.87907,93.87907,417.76846,
89,86,75,91,95,84,93.87907,93.87907,93.87907,93.87907,416.41287,
86,86,77,93,96,85,93.87907,93.87907,93.87907,93.87907,417.08694,
86,84,73,93,96,84,93.87907,93.87907,93.87907,93.87907,401.96024,
81,85,69,85,93,79,93.87907,93.87907,93.87907,93.87907,457.99652,
79,84,68,85,93,80,93.87907,93.87907,93.87907,93.87907,455.64743,
78,84,68,84,92,79,93.87907,93.87907,93.87907,93.87907,461.1627,
78,88,70,86,93,80,93.87907,93.87907,93.87907,93.87907,461.95502,
79,85,68,84,92,79,93.87907,93.87907,93.87907,93.87907,464.35788,
79,85,68,85,92,80,93.87907,93.87907,93.87907,93.87907,459.57162,
80,84,68,85,91,80,93.87907,93.87907,93.87907,93.87907,464.35788,
80,83,68,86,92,84,93.87907,93.87907,93.87907,93.87907,465.16632,
81,84,68,86,93,79,93.87907,93.87907,93.87907,93.87907,465.9691,
79,84,68,87,93,80,93.87907,93.87907,93.87907,93.87907,468.4071,
79,82,64,85,93,80,93.87907,93.87907,93.87907,93.87907,467.59656,
78,83,67,85,89,80,93.87907,93.87907,93.87907,93.87907,462.75223,
74,83,66,89,93,80,93.87907,93.87907,93.87907,93.87907,501.0803,
74,83,65,88,94,80,93.87907,93.87907,93.87907,93.87907,501.0803,
74,83,66,87,92,80,93.87907,93.87907,93.87907,93.87907,504.7176,
74,82,65,88,93,80,93.87907,93.87907,93.87907,93.87907,505.63873,
75,82,66,87,93,80,93.87907,93.87907,93.87907,93.87907,504.7176,
74,86,67,87,94,81,93.87907,93.87907,93.87907,93.87907,501.9833,
74,79,66,87,93,80,93.87907,93.87907,93.87907,93.87907,501.9833,
74,84,66,89,94,80,93.87907,93.87907,93.87907,93.87907,502.8918,
74,84,67,87,94,80,93.87907,93.87907,93.87907,93.87907,502.8918,
74,79,66,86,93,80,93.87907,93.87907,93.87907,93.87907,501.0803,
74,83,65,86,93,80,93.87907,93.87907,93.87907,93.87907,498.37335,
74,83,66,89,93,80,93.87907,93.87907,93.87907,93.87907,501.0803,
74,80,65,88,93,81,93.87907,93.87907,93.87907,93.87907,510.27368,
74,81,65,89,97,82,93.87907,93.87907,93.87907,93.87907,511.19717,
75,82,66,89,94,81,93.87907,93.87907,93.87907,93.87907,507.47833,
