E1,E2,E3,E4,E5,E6,S1,S2,S3,S4,S5,
100,100,99,92,98,99,93.87907,93.87907,93.87907,93.87907,100.09322,
99,99,99,92,99,100,93.87907,93.87907,93.87907,93.87907,100.09322,
99,99,99,92,99,99,93.87907,93.87907,93.87907,93.87907,100.21395,
99,100,100,93,99,99,93.87907,93.87907,93.87907,93.87907,101.147995,
99,100,100,93,99,99,93.87907,93.87907,93.87907,93.87907,101.497406,
99,100,100,93,98,99,93.87907,93.87907,93.87907,93.87907,101.242966,
99,100,100,93,98,99,93.87907,93.87907,93.87907,93.87907,100.64533,
99,99,100,92,100,100,93.87907,93.87907,93.87907,93.87907,99.67258,
98,99,99,92,99,99,93.87907,93.87907,93.87907,93.87907,100.03215,
100,99,99,92,99,100,93.87907,93.87907,93.87907,93.87907,100.614624,
100,99,98,91,99,100,93.87907,93.87907,93.87907,93.87907,99.61404,
100,99,99,91,99,99,93.87907,93.87907,93.87907,93.87907,99.94366,
99,88,97,92,99,100,93.87907,93.87907,93.87907,93.87907,152.67635,
99,88,98,92,99,100,93.87907,93.87907,93.87907,93.87907,151.31956,
99,88,97,92,99,101,93.87907,93.87907,93.87907,93.87907,151.73459,
100,89,99,93,100,99,93.87907,93.87907,93.87907,93.87907,152.67635,
100,89,97,92,98,99,93.87907,93.87907,93.87907,93.87907,150.59744,
99,88,98,92,99,100,93.87907,93.87907,93.87907,93.87907,151.42235,
100,88,97,91,99,100,93.87907,93.87907,93.87907,93.87907,151.31956,
99,88,98,93,100,99,93.87907,93.87907,93.87907,93.87907,150.90683,
100,88,97,93,99,99,93.87907,93.87907,93.87907,93.87907,151.31956,
98,88,97,92,99,99,93.87907,93.87907,93.87907,93.87907,151.83766,
99,88,97,92,99,99,93.87907,93.87907,93.87907,93.87907,150.59744,
100,88,97,92,98,100,93.87907,93.87907,93.87907,93.87907,152.04747,
99,87,96,91,99,100,93.87907,93.87907,93.87907,93.87907,204.37914,
99,86,97,92,99,98,93.87907,93.87907,93.87907,93.87907,204.57103,
99,86,98,92,100,99,93.87907,93.87907,93.87907,93.87907,204.18433,
98,86,97,92,99,101,93.87907,93.87907,93.87907,93.87907,204.7662,
99,86,97,92,99,99,93.87907,93.87907,93.87907,93.87907,204.37914,
99,86,98,92,100,99,93.87907,93.87907,93.87907,93.87907,204.57103,
100,87,97,91,99,100,93.87907,93.87907,93.87907,93.87907,204.57103,
100,86,97,92,99,99,93.87907,93.87907,93.87907,93.87907,204.37914,
99,86,97,92,98,100,93.87907,93.87907,93.87907,93.87907,204.57103,
98,86,97,92,99,99,93.87907,93.87907,93.87907,93.87907,204.37914,
100,86,97,92,99,100,93.87907,93.87907,93.87907,93.87907,205.16028,
100,85,97,91,98,99,93.87907,93.87907,93.87907,93.87907,204.7662,
99,86,98,93,98,99,93.87907,93.87907,93.87907,93.87907,253.01656,
99,85,97,92,100,100,93.87907,93.87907,93.87907,93.87907,250.42775,
99,85,98,93,100,99,93.87907,93.87907,93.87907,93.87907,252.14937,
100,85,97,92,99,100,93.87907,93.87907,93.87907,93.87907,248.1663,
99,85,97,92,99,100,93.87907,93.87907,93.87907,93.87907,251.57098,
99,85,97,92,100,100,93.87907,93.87907,93.87907,93.87907,250.42775,
99,85,97,92,99,100,93.87907,93.87907,93.87907,93.87907,251.2871,
99,85,96,92,99,100,93.87907,93.87907,93.87907,93.87907,249.28972,
100,86,97,93,100,99,93.87907,93.87907,93.87907,93.87907,250.14133,
99,85,96,92,99,100,93.87907,93.87907,93.87907,93.87907,248.72928,
99,85,97,92,99,100,93.87907,93.87907,93.87907,93.87907,249.85904,
