E1,E2,E3,E4,E5,E6,S1,S2,S3,S4,S5,
99,95,98,92,97,99,93.87907,93.87907,93.87907,93.87907,108.51845,
99,95,98,92,97,99,93.87907,93.87907,93.87907,93.87907,108.51845,
99,95,98,92,97,99,93.87907,93.87907,93.87907,93.87907,108.51845,
99,95,98,92,97,99,93.87907,93.87907,93.87907,93.87907,108.51845,
99,95,98,92,97,99,93.87907,93.87907,93.87907,93.87907,108.51845,
99,95,99,93,99,100,93.87907,93.87907,93.87907,93.87907,108.76794,
99,95,99,93,99,100,93.87907,93.87907,93.87907,93.87907,108.76794,
99,95,99,93,99,100,93.87907,93.87907,93.87907,93.87907,108.76794,
99,95,99,93,99,100,93.87907,93.87907,93.87907,93.87907,108.76794,
99,95,99,93,99,100,93.87907,93.87907,93.87907,93.87907,108.76794,
100,95,98,91,97,99,93.87907,93.87907,93.87907,93.87907,108.76794,
100,95,98,91,97,99,93.87907,93.87907,93.87907,93.87907,108.76794,
100,95,98,91,97,99,93.87907,93.87907,93.87907,93.87907,108.76794,
100,95,98,91,97,99,93.87907,93.87907,93.87907,93.87907,108.76794,
100,95,98,91,97,99,93.87907,93.87907,93.87907,93.87907,108.76794,
99,95,98,92,98,100,93.87907,93.87907,93.87907,93.87907,108.35381,
99,95,98,92,98,100,93.87907,93.87907,93.87907,93.87907,108.35381,
99,95,98,92,98,100,93.87907,93.87907,93.87907,93.87907,108.35381,
99,95,98,92,98,100,93.87907,93.87907,93.87907,93.87907,108.35381,
99,95,98,92,98,100,93.87907,93.87907,93.87907,93.87907,108.35381,
99,94,99,92,98,100,93.87907,93.87907,93.87907,93.87907,108.6021,
99,94,99,92,98,100,93.87907,93.87907,93.87907,93.87907,108.6021,
99,94,99,92,98,100,93.87907,93.87907,93.87907,93.87907,108.6021,
99,94,99,92,98,100,93.87907,93.87907,93.87907,93.87907,108.6021,
99,94,99,92,98,100,93.87907,93.87907,93.87907,93.87907,108.6021,
99,95,99,92,98,99,93.87907,93.87907,93.87907,93.87907,108.6021,
99,95,99,92,98,99,93.87907,93.87907,93.87907,93.87907,108.6021,
99,95,99,92,98,99,93.87907,93.87907,93.87907,93.87907,108.6021,
99,95,99,92,98,99,93.87907,93.87907,93.87907,93.87907,108.6021,
99,95,99,92,98,99,93.87907,93.87907,93.87907,93.87907,108.6021,
99,94,98,92,98,99,93.87907,93.87907,93.87907,93.87907,108.68499,
99,94,98,92,98,99,93.87907,93.87907,93.87907,93.87907,108.68499,
99,94,98,92,98,99,93.87907,93.87907,93.87907,93.87907,108.68499,
99,94,98,92,98,99,93.87907,93.87907,93.87907,93.87907,108.68499,
99,94,98,92,98,99,93.87907,93.87907,93.87907,93.87907,108.68499,
100,94,98,91,97,99,93.87907,93.87907,93.87907,93.87907,110.394,
100,94,98,91,97,99,93.87907,93.87907,93.87907,93.87907,110.394,
100,94,98,91,97,99,93.87907,93.87907,93.87907,93.87907,110.394,
100,94,98,91,97,99,93.87907,93.87907,93.87907,93.87907,110.394,
100,94,98,91,97,99,93.87907,93.87907,93.87907,93.87907,110.394,
99,95,99,93,98,100,93.87907,93.87907,93.87907,93.87907,110.394,
99,95,99,93,98,100,93.87907,93.87907,93.87907,93.87907,110.394,
99,95,99,93,98,100,93.87907,93.87907,93.87907,93.87907,110.394,
99,95,99,93,98,100,93.87907,93.87907,93.87907,93.87907,110.394,
99,95,99,93,98,100,93.87907,93.87907,93.87907,93.87907,110.394,
