E1,E2,E3,E4,E5,E6,S1,S2,S3,S4,S5,
79,55,52,53,52,89,93.87907,93.87907,93.87907,93.87907,99.49555,
80,57,54,52,52,89,93.87907,93.87907,93.87907,93.87907,99.67258,
79,57,54,52,52,90,93.87907,93.87907,93.87907,93.87907,99.762344,
78,57,53,52,53,90,93.87907,93.87907,93.87907,93.87907,99.70376,
80,55,53,52,52,89,93.87907,93.87907,93.87907,93.87907,100.00315,
79,56,52,52,54,90,93.87907,93.87907,93.87907,93.87907,99.52516,
79,57,53,52,52,88,93.87907,93.87907,93.87907,93.87907,99.436356,
78,55,53,52,52,88,93.87907,93.87907,93.87907,93.87907,99.70376,
78,55,53,50,49,89,93.87907,93.87907,93.87907,93.87907,100.00315,
81,55,53,51,51,91,93.87907,93.87907,93.87907,93.87907,100.09322,
81,56,53,51,51,88,93.87907,93.87907,93.87907,93.87907,100.09322,
81,57,55,52,51,87,93.87907,93.87907,93.87907,93.87907,100.09322,
75,52,49,46,50,88,93.87907,93.87907,93.87907,93.87907,154.38885,
75,53,50,50,50,87,93.87907,93.87907,93.87907,93.87907,154.27936,
77,52,51,49,48,89,93.87907,93.87907,93.87907,93.87907,155.14929,
75,52,50,51,50,89,93.87907,93.87907,93.87907,93.87907,154.82057,
75,51,52,50,50,88,93.87907,93.87907,93.87907,93.87907,154.0641,
75,53,51,51,50,88,93.87907,93.87907,93.87907,93.87907,154.71312,
76,52,51,51,50,89,93.87907,93.87907,93.87907,93.87907,154.0641,
75,53,50,49,51,88,93.87907,93.87907,93.87907,93.87907,153.95718,
76,52,50,50,49,86,93.87907,93.87907,93.87907,93.87907,153.41898,
74,52,50,50,49,87,93.87907,93.87907,93.87907,93.87907,153.63333,
75,52,50,50,49,88,93.87907,93.87907,93.87907,93.87907,153.84915,
75,52,50,49,49,88,93.87907,93.87907,93.87907,93.87907,154.0641,
73,51,49,49,49,87,93.87907,93.87907,93.87907,93.87907,206.14404,
74,54,49,49,49,88,93.87907,93.87907,93.87907,93.87907,207.33965,
73,51,49,48,49,87,93.87907,93.87907,93.87907,93.87907,207.94162,
75,50,48,48,49,86,93.87907,93.87907,93.87907,93.87907,204.96315,
72,50,49,52,49,88,93.87907,93.87907,93.87907,93.87907,205.35759,
71,51,48,49,49,87,93.87907,93.87907,93.87907,93.87907,206.3423,
73,49,49,48,48,90,93.87907,93.87907,93.87907,93.87907,206.54233,
72,51,50,50,50,90,93.87907,93.87907,93.87907,93.87907,207.13884,
71,51,49,50,49,90,93.87907,93.87907,93.87907,93.87907,205.35759,
72,50,49,48,47,83,93.87907,93.87907,93.87907,93.87907,206.9398,
71,51,49,48,49,87,93.87907,93.87907,93.87907,93.87907,205.55196,
71,50,49,52,49,88,93.87907,93.87907,93.87907,93.87907,204.18433,
69,48,48,48,48,89,93.87907,93.87907,93.87907,93.87907,255.0613,
69,48,47,48,48,87,93.87907,93.87907,93.87907,93.87907,253.30434,
69,48,48,47,48,90,93.87907,93.87907,93.87907,93.87907,255.65161,
65,48,48,48,48,90,93.87907,93.87907,93.87907,93.87907,257.44055,
