E1,E2,E3,E4,E5,E6,S1,S2,S3,S4,S5,
81,84,94,95,95,88,93.87907,93.87907,93.87907,93.87907,102.817696,
80,84,96,97,95,87,93.87907,93.87907,93.87907,93.87907,103.125656,
81,85,94,95,95,87,93.87907,93.87907,93.87907,93.87907,103.227196,
81,84,94,98,97,87,93.87907,93.87907,93.87907,93.87907,103.50321,
81,84,95,95,95,87,93.87907,93.87907,93.87907,93.87907,103.64387,
80,86,95,96,96,87,93.87907,93.87907,93.87907,93.87907,103.365906,
81,84,94,96,96,88,93.87907,93.87907,93.87907,93.87907,103.29732,
81,85,95,95,96,90,93.87907,93.87907,93.87907,93.87907,103.19255,
80,84,94,95,95,86,93.87907,93.87907,93.87907,93.87907,103.400604,
81,84,95,98,97,87,93.87907,93.87907,93.87907,93.87907,103.64387,
81,83,93,95,96,87,93.87907,93.87907,93.87907,93.87907,103.71427,
81,80,95,95,96,87,93.87907,93.87907,93.87907,93.87907,103.537964,
79,84,94,96,95,83,93.87907,93.87907,93.87907,93.87907,152.67635,
78,84,94,95,94,82,93.87907,93.87907,93.87907,93.87907,152.57155,
79,85,95,94,95,83,93.87907,93.87907,93.87907,93.87907,152.57155,
79,85,96,99,97,84,93.87907,93.87907,93.87907,93.87907,152.36101,
79,83,90,95,95,83,93.87907,93.87907,93.87907,93.87907,153.1021,
78,83,92,96,95,83,93.87907,93.87907,93.87907,93.87907,152.57155,
78,85,96,95,94,83,93.87907,93.87907,93.87907,93.87907,152.99585,
78,84,94,95,95,82,93.87907,93.87907,93.87907,93.87907,151.5252,
78,84,95,95,95,83,93.87907,93.87907,93.87907,93.87907,152.46567,
78,84,94,95,95,83,93.87907,93.87907,93.87907,93.87907,152.99585,
79,83,97,96,95,83,93.87907,93.87907,93.87907,93.87907,153.5267,
79,84,97,96,97,83,93.87907,93.87907,93.87907,93.87907,154.0641,
77,84,94,95,95,81,93.87907,93.87907,93.87907,93.87907,204.7662,
77,82,94,95,94,81,93.87907,93.87907,93.87907,93.87907,204.96315,
78,83,94,95,99,83,93.87907,93.87907,93.87907,93.87907,204.37914,
79,85,97,96,95,80,93.87907,93.87907,93.87907,93.87907,206.14404,
79,85,96,96,96,81,93.87907,93.87907,93.87907,93.87907,205.55196,
73,83,95,96,96,82,93.87907,93.87907,93.87907,93.87907,205.35759,
77,84,97,96,95,81,93.87907,93.87907,93.87907,93.87907,205.74965,
75,84,94,95,95,80,93.87907,93.87907,93.87907,93.87907,205.55196,
77,83,90,95,95,79,93.87907,93.87907,93.87907,93.87907,206.14404,
77,82,96,96,94,80,93.87907,93.87907,93.87907,93.87907,206.14404,
77,86,96,95,95,81,93.87907,93.87907,93.87907,93.87907,205.55196,
77,83,94,94,96,80,93.87907,93.87907,93.87907,93.87907,206.3423,
76,84,93,96,96,80,93.87907,93.87907,93.87907,93.87907,249.85904,
76,82,95,95,95,80,93.87907,93.87907,93.87907,93.87907,250.42775,
76,83,97,97,95,79,93.87907,93.87907,93.87907,93.87907,249.57326,
77,83,94,94,92,79,93.87907,93.87907,93.87907,93.87907,249.85904,
77,83,95,95,95,79,93.87907,93.87907,93.87907,93.87907,249.57326,
76,85,95,95,95,79,93.87907,93.87907,93.87907,93.87907,250.99776,
77,84,95,95,95,79,93.87907,93.87907,93.87907,93.87907,253.01656,
76,84,95,95,96,78,93.87907,93.87907,93.87907,93.87907,253.30434,
76,84,96,99,97,80,93.87907,93.87907,93.87907,93.87907,252.43617,
76,84,95,96,95,79,93.87907,93.87907,93.87907,93.87907,253.30434,
76,84,95,95,95,79,93.87907,93.87907,93.87907,93.87907,253.30434,
76,84,94,95,95,79,93.87907,93.87907,93.87907,93.87907,253.30434,
75,83,95,95,95,78,93.87907,93.87907,93.87907,93.87907,298.02402,
76,84,95,95,95,78,93.87907,93.87907,93.87907,93.87907,300.75815,
78,84,94,95,96,82,93.87907,93.87907,93.87907,93.87907,296.86667,
75,83,96,96,96,79,93.87907,93.87907,93.87907,93.87907,291.18915,
75,85,95,95,95,78,93.87907,93.87907,93.87907,93.87907,293.06354,
75,83,95,96,95,78,93.87907,93.87907,93.87907,93.87907,289.3378,
77,84,95,95,96,81,93.87907,93.87907,93.87907,93.87907,286.7797,
76,84,95,95,95,78,93.87907,93.87907,93.87907,93.87907,284.97595,
76,84,95,95,95,78,93.87907,93.87907,93.87907,93.87907,280.3845,
76,83,96,96,96,78,93.87907,93.87907,93.87907,93.87907,282.13547,
75,83,94,94,95,78,93.87907,93.87907,93.87907,93.87907,290.07828,
75,84,95,96,97,80,93.87907,93.87907,93.87907,93.87907,291.18915,
74,83,94,94,96,76,93.87907,93.87907,93.87907,93.87907,350.04535,
75,83,96,99,96,77,93.87907,93.87907,93.87907,93.87907,345.0209,
74,84,94,95,96,76,93.87907,93.87907,93.87907,93.87907,343.04187,
72,83,95,95,95,76,93.87907,93.87907,93.87907,93.87907,346.0147,
75,84,95,95,95,76,93.87907,93.87907,93.87907,93.87907,343.53424,
74,85,94,95,95,77,93.87907,93.87907,93.87907,93.87907,346.0147,
75,83,98,96,95,77,93.87907,93.87907,93.87907,93.87907,347.52008,
75,83,94,94,95,77,93.87907,93.87907,93.87907,93.87907,348.02155,
74,83,94,95,95,76,93.87907,93.87907,93.87907,93.87907,347.52008,
75,83,93,91,96,77,93.87907,93.87907,93.87907,93.87907,349.5383,
75,83,94,95,95,76,93.87907,93.87907,93.87907,93.87907,349.5383,
76,83,95,95,96,80,93.87907,93.87907,93.87907,93.87907,352.09167,
72,82,94,95,96,74,93.87907,93.87907,93.87907,93.87907,400.6865,
72,81,94,95,97,74,93.87907,93.87907,93.87907,93.87907,402.60168,
73,80,94,95,95,74,93.87907,93.87907,93.87907,93.87907,402.60168,
73,81,94,95,95,73,93.87907,93.87907,93.87907,93.87907,401.32285,
72,81,94,95,95,73,93.87907,93.87907,93.87907,93.87907,400.6865,
73,81,95,95,96,74,93.87907,93.87907,93.87907,93.87907,400.6865,
73,85,96,92,97,75,93.87907,93.87907,93.87907,93.87907,401.96024,
74,81,94,95,95,74,93.87907,93.87907,93.87907,93.87907,401.32285,
73,81,96,96,95,73,93.87907,93.87907,93.87907,93.87907,400.6865,
74,81,93,95,96,77,93.87907,93.87907,93.87907,93.87907,400.05725,
72,81,94,95,95,73,93.87907,93.87907,93.87907,93.87907,401.96024,
73,80,94,95,97,74,93.87907,93.87907,93.87907,93.87907,400.6865,
71,84,90,97,96,74,93.87907,93.87907,93.87907,93.87907,457.99652,
