E1,E2,E3,E4,E5,E6,S1,S2,S3,S4,S5,
92,88,98,97,96,81,93.87907,93.87907,93.87907,93.87907,103.537964,
92,84,95,95,96,82,93.87907,93.87907,93.87907,93.87907,103.64387,
93,88,95,95,93,76,93.87907,93.87907,93.87907,93.87907,103.50321,
91,88,98,95,96,81,93.87907,93.87907,93.87907,93.87907,103.607506,
92,87,96,97,96,81,93.87907,93.87907,93.87907,93.87907,104.10193,
91,87,94,97,97,81,93.87907,93.87907,93.87907,93.87907,103.85284,
91,86,91,95,96,79,93.87907,93.87907,93.87907,93.87907,104.31739,
92,87,95,95,95,81,93.87907,93.87907,93.87907,93.87907,103.57273,
91,87,93,95,95,81,93.87907,93.87907,93.87907,93.87907,104.24499,
91,87,96,96,96,81,93.87907,93.87907,93.87907,93.87907,104.67615,
91,84,96,96,95,81,93.87907,93.87907,93.87907,93.87907,104.8232,
91,87,96,96,96,81,93.87907,93.87907,93.87907,93.87907,104.932014,
86,86,91,95,95,78,93.87907,93.87907,93.87907,93.87907,152.99585,
87,87,95,95,95,78,93.87907,93.87907,93.87907,93.87907,152.99585,
85,87,96,96,96,77,93.87907,93.87907,93.87907,93.87907,153.63333,
85,89,96,96,95,79,93.87907,93.87907,93.87907,93.87907,154.0641,
85,86,95,95,95,77,93.87907,93.87907,93.87907,93.87907,154.49727,
87,88,97,96,96,79,93.87907,93.87907,93.87907,93.87907,153.74121,
88,88,96,96,96,77,93.87907,93.87907,93.87907,93.87907,154.27936,
85,87,96,96,96,79,93.87907,93.87907,93.87907,93.87907,154.27936,
85,86,96,96,96,78,93.87907,93.87907,93.87907,93.87907,154.93164,
86,87,96,95,95,78,93.87907,93.87907,93.87907,93.87907,154.93164,
87,86,95,95,95,77,93.87907,93.87907,93.87907,93.87907,155.14929,
86,86,96,95,95,78,93.87907,93.87907,93.87907,93.87907,155.04161,
81,89,95,95,96,76,93.87907,93.87907,93.87907,93.87907,204.96315,
79,85,94,95,95,76,93.87907,93.87907,93.87907,93.87907,204.37914,
81,85,97,96,96,76,93.87907,93.87907,93.87907,93.87907,204.57103,
83,85,95,95,96,79,93.87907,93.87907,93.87907,93.87907,205.55196,
81,85,94,93,95,75,93.87907,93.87907,93.87907,93.87907,205.16028,
81,86,95,95,95,75,93.87907,93.87907,93.87907,93.87907,204.96315,
81,85,93,91,96,76,93.87907,93.87907,93.87907,93.87907,204.96315,
82,87,94,96,96,76,93.87907,93.87907,93.87907,93.87907,206.14404,
79,86,96,96,96,75,93.87907,93.87907,93.87907,93.87907,205.74965,
80,86,95,95,95,75,93.87907,93.87907,93.87907,93.87907,206.9398,
82,85,95,95,95,76,93.87907,93.87907,93.87907,93.87907,207.53905,
81,85,95,95,95,75,93.87907,93.87907,93.87907,93.87907,208.1432,
80,85,97,97,96,74,93.87907,93.87907,93.87907,93.87907,257.7373,
80,87,95,96,96,76,93.87907,93.87907,93.87907,93.87907,257.44055,
80,86,95,96,96,74,93.87907,93.87907,93.87907,93.87907,258.94553,
79,85,95,95,95,74,93.87907,93.87907,93.87907,93.87907,259.246,
77,84,96,97,96,75,93.87907,93.87907,93.87907,93.87907,258.94553,
79,85,95,95,95,75,93.87907,93.87907,93.87907,93.87907,258.94553,
79,84,95,95,95,75,93.87907,93.87907,93.87907,93.87907,259.55078,
80,86,95,96,97,76,93.87907,93.87907,93.87907,93.87907,259.8559,
79,85,98,95,95,74,93.87907,93.87907,93.87907,93.87907,258.94553,
78,87,95,95,96,74,93.87907,93.87907,93.87907,93.87907,260.76947,
79,85,95,97,98,74,93.87907,93.87907,93.87907,93.87907,260.76947,
79,87,97,96,96,75,93.87907,93.87907,93.87907,93.87907,261.69226,
78,85,95,98,98,74,93.87907,93.87907,93.87907,93.87907,310.46863,
77,85,95,95,95,72,93.87907,93.87907,93.87907,93.87907,310.46863,
77,84,93,90,95,73,93.87907,93.87907,93.87907,93.87907,311.2988,
79,87,95,97,97,74,93.87907,93.87907,93.87907,93.87907,312.5577,
77,86,96,96,96,72,93.87907,93.87907,93.87907,93.87907,312.9777,
77,85,95,95,96,73,93.87907,93.87907,93.87907,93.87907,314.67285,
77,84,94,96,99,73,93.87907,93.87907,93.87907,93.87907,313.82172,
73,84,94,95,94,72,93.87907,93.87907,93.87907,93.87907,312.5577,
77,83,95,95,95,73,93.87907,93.87907,93.87907,93.87907,312.5577,
78,85,95,97,96,73,93.87907,93.87907,93.87907,93.87907,311.2988,
77,84,95,96,99,74,93.87907,93.87907,93.87907,93.87907,312.1383,
77,84,95,98,97,73,93.87907,93.87907,93.87907,93.87907,313.82172,
