E1,E2,E3,E4,E5,E6,S1,S2,S3,S4,S5,
62,47,46,51,92,99,93.87907,93.87907,93.87907,93.87907,104.42489,
61,47,46,51,92,99,93.87907,93.87907,93.87907,93.87907,105.33789,
62,47,46,51,92,99,93.87907,93.87907,93.87907,93.87907,104.24499,
62,47,47,51,92,99,93.87907,93.87907,93.87907,93.87907,104.786415,
62,47,47,51,93,100,93.87907,93.87907,93.87907,93.87907,105.41346,
62,47,46,51,92,99,93.87907,93.87907,93.87907,93.87907,104.895996,
62,47,47,51,92,99,93.87907,93.87907,93.87907,93.87907,104.641014,
61,47,47,51,92,99,93.87907,93.87907,93.87907,93.87907,105.826035,
62,47,46,51,92,99,93.87907,93.87907,93.87907,93.87907,106.43819,
61,47,46,51,92,99,93.87907,93.87907,93.87907,93.87907,107.70106,
61,47,46,51,92,99,93.87907,93.87907,93.87907,93.87907,109.35705,
62,47,46,51,92,98,93.87907,93.87907,93.87907,93.87907,109.35705,
60,46,46,50,92,99,93.87907,93.87907,93.87907,93.87907,152.67635,
60,46,45,50,92,99,93.87907,93.87907,93.87907,93.87907,152.57155,
60,46,46,50,92,98,93.87907,93.87907,93.87907,93.87907,152.36101,
60,46,46,50,92,99,93.87907,93.87907,93.87907,93.87907,153.1021,
61,46,46,50,92,99,93.87907,93.87907,93.87907,93.87907,153.41898,
60,46,46,50,92,98,93.87907,93.87907,93.87907,93.87907,153.31483,
59,46,46,51,93,100,93.87907,93.87907,93.87907,93.87907,152.36101,
60,46,46,50,91,99,93.87907,93.87907,93.87907,93.87907,153.20844,
60,46,46,50,91,99,93.87907,93.87907,93.87907,93.87907,153.20844,
60,47,46,50,92,99,93.87907,93.87907,93.87907,93.87907,153.31483,
59,46,46,50,92,99,93.87907,93.87907,93.87907,93.87907,153.63333,
59,46,46,50,91,100,93.87907,93.87907,93.87907,93.87907,153.74121,
60,46,46,49,92,100,93.87907,93.87907,93.87907,93.87907,202.25867,
59,46,46,50,92,99,93.87907,93.87907,93.87907,93.87907,207.53905,
60,46,46,49,92,100,93.87907,93.87907,93.87907,93.87907,200.93288,
60,46,46,49,92,99,93.87907,93.87907,93.87907,93.87907,198.51317,
59,46,46,49,92,99,93.87907,93.87907,93.87907,93.87907,199.62186,
59,46,45,49,92,99,93.87907,93.87907,93.87907,93.87907,198.32848,
59,46,46,49,91,98,93.87907,93.87907,93.87907,93.87907,198.32848,
59,46,46,49,92,99,93.87907,93.87907,93.87907,93.87907,198.69803,
60,46,46,49,92,99,93.87907,93.87907,93.87907,93.87907,199.43767,
59,46,45,50,93,99,93.87907,93.87907,93.87907,93.87907,201.31035,
59,46,45,49,92,99,93.87907,93.87907,93.87907,93.87907,201.87943,
59,46,45,49,92,100,93.87907,93.87907,93.87907,93.87907,201.31035,
58,45,45,50,93,100,93.87907,93.87907,93.87907,93.87907,255.95216,
59,46,45,49,93,100,93.87907,93.87907,93.87907,93.87907,254.47624,
58,45,45,49,91,99,93.87907,93.87907,93.87907,93.87907,254.76958,
58,45,45,49,92,99,93.87907,93.87907,93.87907,93.87907,252.72716,
58,45,45,49,92,99,93.87907,93.87907,93.87907,93.87907,255.0613,
59,46,46,49,91,99,93.87907,93.87907,93.87907,93.87907,253.88864,
58,45,45,49,92,99,93.87907,93.87907,93.87907,93.87907,252.43617,
59,45,45,49,91,98,93.87907,93.87907,93.87907,93.87907,253.59825,
59,45,45,49,92,100,93.87907,93.87907,93.87907,93.87907,253.88864,
59,46,45,48,92,100,93.87907,93.87907,93.87907,93.87907,254.47624,
58,45,45,49,91,99,93.87907,93.87907,93.87907,93.87907,256.8422,
59,46,46,49,91,99,93.87907,93.87907,93.87907,93.87907,250.99776,
58,45,45,49,91,99,93.87907,93.87907,93.87907,93.87907,298.02402,
58,45,45,49,92,100,93.87907,93.87907,93.87907,93.87907,291.93658,
59,46,46,49,92,99,93.87907,93.87907,93.87907,93.87907,299.5833,
59,45,45,49,92,99,93.87907,93.87907,93.87907,93.87907,273.89774,
58,45,45,49,92,100,93.87907,93.87907,93.87907,93.87907,282.13547,
58,45,45,49,92,99,93.87907,93.87907,93.87907,93.87907,268.961,
59,45,45,49,92,100,93.87907,93.87907,93.87907,93.87907,279.69012,
58,45,45,49,93,100,93.87907,93.87907,93.87907,93.87907,283.19867,
58,45,45,49,92,100,93.87907,93.87907,93.87907,93.87907,285.3371,
58,45,45,49,93,100,93.87907,93.87907,93.87907,93.87907,285.6987,
59,45,45,49,91,99,93.87907,93.87907,93.87907,93.87907,288.97162,
58,45,45,49,93,100,93.87907,93.87907,93.87907,93.87907,290.8184,
58,45,45,48,91,100,93.87907,93.87907,93.87907,93.87907,365.33334,
58,45,45,49,92,99,93.87907,93.87907,93.87907,93.87907,365.33334,
58,45,45,48,91,100,93.87907,93.87907,93.87907,93.87907,362.6203,
58,45,45,48,91,99,93.87907,93.87907,93.87907,93.87907,361.011,
59,46,46,48,91,100,93.87907,93.87907,93.87907,93.87907,354.15536,
58,45,45,49,93,99,93.87907,93.87907,93.87907,93.87907,354.15536,
58,45,45,48,91,99,93.87907,93.87907,93.87907,93.87907,349.5383,
58,45,45,48,92,99,93.87907,93.87907,93.87907,93.87907,354.67725,
58,45,45,48,92,99,93.87907,93.87907,93.87907,93.87907,359.9439,
58,45,45,48,92,99,93.87907,93.87907,93.87907,93.87907,358.34918,
59,46,46,48,92,99,93.87907,93.87907,93.87907,93.87907,360.47705,
58,45,45,48,91,99,93.87907,93.87907,93.87907,93.87907,362.6203,
58,45,46,48,90,98,93.87907,93.87907,93.87907,93.87907,398.7926,
58,45,45,48,90,99,93.87907,93.87907,93.87907,93.87907,393.79486,
58,45,45,48,91,99,93.87907,93.87907,93.87907,93.87907,392.56796,
57,45,45,48,91,99,93.87907,93.87907,93.87907,93.87907,397.53497,
58,45,45,48,92,99,93.87907,93.87907,93.87907,93.87907,400.05725,
58,45,45,48,91,99,93.87907,93.87907,93.87907,93.87907,398.16025,
58,45,45,48,91,99,93.87907,93.87907,93.87907,93.87907,400.6865,
58,44,44,49,93,100,93.87907,93.87907,93.87907,93.87907,395.03763,
57,45,45,48,91,99,93.87907,93.87907,93.87907,93.87907,393.79486,
57,45,45,48,92,98,93.87907,93.87907,93.87907,93.87907,400.05725,
58,45,45,48,91,99,93.87907,93.87907,93.87907,93.87907,397.53497,
58,45,45,48,91,99,93.87907,93.87907,93.87907,93.87907,397.53497,
58,45,45,48,87,99,93.87907,93.87907,93.87907,93.87907,444.92264,
57,44,45,48,87,99,93.87907,93.87907,93.87907,93.87907,454.86942,
57,45,45,48,86,98,93.87907,93.87907,93.87907,93.87907,455.64743,
