E1,E2,E3,E4,E5,E6,S1,S2,S3,S4,S5,
99,99,100,92,100,100,93.87907,93.87907,93.87907,93.87907,104.31739,
99,100,100,93,99,99,93.87907,93.87907,93.87907,93.87907,104.42489,
99,99,99,92,99,99,93.87907,93.87907,93.87907,93.87907,103.88929,
100,100,99,91,99,100,93.87907,93.87907,93.87907,93.87907,104.8232,
99,99,99,92,99,100,93.87907,93.87907,93.87907,93.87907,104.786415,
99,99,100,92,99,100,93.87907,93.87907,93.87907,93.87907,104.49502,
100,99,99,93,98,99,93.87907,93.87907,93.87907,93.87907,104.85919,
99,99,99,92,99,99,93.87907,93.87907,93.87907,93.87907,104.8232,
99,99,99,91,99,100,93.87907,93.87907,93.87907,93.87907,104.31739,
100,99,99,92,99,99,93.87907,93.87907,93.87907,93.87907,104.20841,
99,100,100,93,98,99,93.87907,93.87907,93.87907,93.87907,104.786415,
99,99,100,92,99,98,93.87907,93.87907,93.87907,93.87907,105.22704,
100,100,99,93,99,99,93.87907,93.87907,93.87907,93.87907,148.88153,
99,99,99,92,99,100,93.87907,93.87907,93.87907,93.87907,148.68176,
99,99,100,92,100,99,93.87907,93.87907,93.87907,93.87907,149.6845,
100,99,99,92,99,99,93.87907,93.87907,93.87907,93.87907,150.8044,
99,99,99,92,99,99,93.87907,93.87907,93.87907,93.87907,150.90683,
100,100,100,92,99,99,93.87907,93.87907,93.87907,93.87907,150.29327,
99,99,99,92,99,99,93.87907,93.87907,93.87907,93.87907,151.5252,
100,100,100,93,98,99,93.87907,93.87907,93.87907,93.87907,151.00818,
99,99,99,92,99,100,93.87907,93.87907,93.87907,93.87907,152.99585,
99,99,100,92,99,100,93.87907,93.87907,93.87907,93.87907,153.31483,
99,99,99,92,99,100,93.87907,93.87907,93.87907,93.87907,154.27936,
99,99,99,92,98,100,93.87907,93.87907,93.87907,93.87907,153.5267,
99,99,99,92,100,100,93.87907,93.87907,93.87907,93.87907,204.37914,
99,100,100,92,99,100,93.87907,93.87907,93.87907,93.87907,208.1432,
98,99,99,92,99,101,93.87907,93.87907,93.87907,93.87907,210.5903,
99,99,99,92,100,100,93.87907,93.87907,93.87907,93.87907,211.00362,
99,99,100,93,100,99,93.87907,93.87907,93.87907,93.87907,214.36897,
99,100,99,93,99,100,93.87907,93.87907,93.87907,93.87907,215.2244,
100,100,99,93,100,99,93.87907,93.87907,93.87907,93.87907,214.58005,
99,99,100,93,100,99,93.87907,93.87907,93.87907,93.87907,214.36897,
98,99,100,92,99,100,93.87907,93.87907,93.87907,93.87907,205.55196,
99,99,100,93,100,100,93.87907,93.87907,93.87907,93.87907,204.37914,
99,99,100,92,99,99,93.87907,93.87907,93.87907,93.87907,202.44856,
99,99,99,92,99,100,93.87907,93.87907,93.87907,93.87907,202.44856,
100,94,98,92,99,100,93.87907,93.87907,93.87907,93.87907,249.85904,
99,95,98,92,99,101,93.87907,93.87907,93.87907,93.87907,249.85904,
100,94,98,92,99,100,93.87907,93.87907,93.87907,93.87907,248.1663,
99,94,98,92,99,100,93.87907,93.87907,93.87907,93.87907,249.57326,
99,94,98,92,99,100,93.87907,93.87907,93.87907,93.87907,252.14937,
99,94,99,93,99,100,93.87907,93.87907,93.87907,93.87907,253.88864,
99,95,99,93,98,99,93.87907,93.87907,93.87907,93.87907,253.88864,
100,95,98,91,99,100,93.87907,93.87907,93.87907,93.87907,254.76958,
99,95,99,93,98,99,93.87907,93.87907,93.87907,93.87907,251.57098,
100,94,98,92,99,100,93.87907,93.87907,93.87907,93.87907,250.42775,
99,94,99,93,100,99,93.87907,93.87907,93.87907,93.87907,250.42775,
99,95,99,93,98,99,93.87907,93.87907,93.87907,93.87907,254.1813,
99,92,98,92,90,97,93.87907,93.87907,93.87907,93.87907,298.80038,
100,93,98,92,91,99,93.87907,93.87907,93.87907,93.87907,300.75815,
99,92,98,92,90,98,93.87907,93.87907,93.87907,93.87907,301.54852,
99,93,98,92,91,98,93.87907,93.87907,93.87907,93.87907,303.5359,
99,93,98,92,88,98,93.87907,93.87907,93.87907,93.87907,303.5359,
100,94,99,92,89,98,93.87907,93.87907,93.87907,93.87907,305.548,
100,93,98,92,89,98,93.87907,93.87907,93.87907,93.87907,305.548,
99,92,98,91,87,97,93.87907,93.87907,93.87907,93.87907,303.13553,
98,93,98,92,90,98,93.87907,93.87907,93.87907,93.87907,303.5359,
99,92,97,92,88,98,93.87907,93.87907,93.87907,93.87907,303.13553,
100,93,98,92,92,98,93.87907,93.87907,93.87907,93.87907,298.02402,
99,93,98,91,92,98,93.87907,93.87907,93.87907,93.87907,303.5359,
99,80,96,92,81,96,93.87907,93.87907,93.87907,93.87907,365.33334,
99,80,96,92,81,97,93.87907,93.87907,93.87907,93.87907,365.88287,
99,82,96,92,80,97,93.87907,93.87907,93.87907,93.87907,364.24515,
99,84,97,92,83,97,93.87907,93.87907,93.87907,93.87907,363.16296,
