E1,E2,E3,E4,E5,E6,S1,S2,S3,S4,S5,
100,89,81,94,97,96,93.87907,93.87907,93.87907,93.87907,101.88533,
97,89,81,94,95,94,93.87907,93.87907,93.87907,93.87907,101.497406,
99,88,81,93,96,97,93.87907,93.87907,93.87907,93.87907,100.98838,
99,89,81,93,93,90,93.87907,93.87907,93.87907,93.87907,100.184906,
97,89,82,91,95,94,93.87907,93.87907,93.87907,93.87907,99.14471,
94,88,81,93,95,94,93.87907,93.87907,93.87907,93.87907,98.51436,
96,88,81,91,96,95,93.87907,93.87907,93.87907,93.87907,98.48656,
97,88,81,93,96,94,93.87907,93.87907,93.87907,93.87907,98.798874,
97,88,81,92,93,89,93.87907,93.87907,93.87907,93.87907,98.85618,
96,88,80,89,96,95,93.87907,93.87907,93.87907,93.87907,98.712234,
97,85,81,94,96,95,93.87907,93.87907,93.87907,93.87907,99.05776,
96,89,79,93,96,95,93.87907,93.87907,93.87907,93.87907,98.94069,
96,88,80,93,95,94,93.87907,93.87907,93.87907,93.87907,149.98857,
91,88,81,93,95,94,93.87907,93.87907,93.87907,93.87907,149.6845,
96,87,80,93,99,95,93.87907,93.87907,93.87907,93.87907,151.73459,
96,88,80,92,94,95,93.87907,93.87907,93.87907,93.87907,151.5252,
96,89,80,94,99,96,93.87907,93.87907,93.87907,93.87907,151.00818,
96,88,81,94,96,95,93.87907,93.87907,93.87907,93.87907,152.15192,
96,89,81,93,95,94,93.87907,93.87907,93.87907,93.87907,152.25642,
96,88,80,93,96,94,93.87907,93.87907,93.87907,93.87907,153.20844,
96,88,80,93,96,95,93.87907,93.87907,93.87907,93.87907,153.5267,
96,88,83,94,95,94,93.87907,93.87907,93.87907,93.87907,152.15192,
92,87,79,91,93,94,93.87907,93.87907,93.87907,93.87907,152.36101,
93,89,81,93,96,94,93.87907,93.87907,93.87907,93.87907,151.94196,
96,88,79,94,95,94,93.87907,93.87907,93.87907,93.87907,196.51201,
97,88,80,93,96,95,93.87907,93.87907,93.87907,93.87907,198.32848,
97,88,80,93,96,94,93.87907,93.87907,93.87907,93.87907,198.32848,
96,87,78,93,96,94,93.87907,93.87907,93.87907,93.87907,198.32848,
97,87,79,93,95,95,93.87907,93.87907,93.87907,93.87907,199.2506,
98,86,79,92,95,95,93.87907,93.87907,93.87907,93.87907,199.62186,
95,90,82,96,99,96,93.87907,93.87907,93.87907,93.87907,200.5561,
99,88,80,93,95,96,93.87907,93.87907,93.87907,93.87907,201.87943,
96,88,81,93,95,95,93.87907,93.87907,93.87907,93.87907,202.06895,
96,87,79,91,91,95,93.87907,93.87907,93.87907,93.87907,202.25867,
97,86,79,93,98,96,93.87907,93.87907,93.87907,93.87907,202.25867,
